iter	RMSE
220	68599.79534
221	68574.4457
222	68558.91885
223	68548.04139
224	68531.06424
225	68513.06534
226	68503.81203
227	68495.38141
228	68476.68058
229	68462.79862
230	68459.76847
231	68439.46444
232	68428.64476
233	68421.31579
234	68388.89496
235	68379.17205
236	68368.32085
237	68346.32102
238	68338.08333
239	68324.37874
240	68318.46524
241	68314.03857
242	68292.5016
243	68226.88564
244	68189.998
245	68174.4423
246	68162.14317
247	68142.01927
248	68128.75491
249	68118.5798
250	68091.0005
251	68068.14558
252	68062.98591
253	68052.91603
254	68048.02661
255	68021.88225
256	67997.49373
257	67975.1434
258	67963.17558
259	67953.02413
260	67948.35639
261	67943.92468
262	67936.18379
263	67925.092
264	67916.28994
265	67912.08531
266	67899.94366
267	67839.71872
268	67815.16612
269	67783.55389
270	67767.44447
271	67751.96219
272	67744.97812
273	67723.75421
274	67708.86953
275	67685.64111
276	67681.80754
277	67670.52985
278	67663.85295
279	67635.99517
280	67624.86413
281	67603.62499
282	67582.90827
283	67569.30494
284	67557.51159
285	67546.10886
286	67517.98083
287	67491.66685
288	67479.75197
289	67424.37033
290	67414.01192
291	67408.71592
292	67399.92642
293	67377.86497
294	67366.69282
295	67361.93502
296	67344.46848
297	67319.8623
298	67299.86908
299	67284.45315
300	67271.0653
301	67267.42844
302	67256.84573
303	67245.87296
304	67238.98644
305	67228.50289
306	67177.57934
307	67169.64402
308	67146.17744
309	67136.2825
310	67115.34166
311	67106.36886
312	67088.47664
313	67058.41088
314	67044.27663
315	66997.47945
316	66963.21003
317	66948.37792
318	66926.07734
319	66920.20613
320	66910.00729
321	66889.67083
322	66879.50896
323	66876.48948
324	66864.54492
325	66849.42915
326	66837.70255
327	66819.66085
328	66812.4139
329	66793.13353
330	66771.54051
331	66760.36108
332	66749.60737
333	66728.00548
334	66719.46586
335	66700.10694
336	66687.77696
337	66670.00365
338	66665.05517
339	66652.79166
340	66646.99612
341	66637.46782
342	66614.74507
343	66594.26536
344	66577.67971
345	66549.30061
346	66541.92553
347	66507.97513
348	66495.04692
349	66484.10483
350	66468.49706
351	66458.28956
352	66446.13769
353	66427.67532
354	66422.68245
355	66416.47631
356	66406.89431
357	66397.1754
358	66378.8101
359	66359.80189
360	66352.7537
361	66333.28442
362	66294.66306
363	66285.82723
364	66276.14429
365	66250.49531
366	66241.86382
367	66224.13604
368	66191.20334
369	66174.70914
370	66143.46828
371	66131.27545
372	66123.78301
373	66116.6439
374	66112.63365
375	66099.54629
376	66093.55246
377	66087.48125
378	66072.01872
379	66052.55654
380	66048.34917
381	66005.01642
382	65995.29698
383	65989.55298
384	65959.83659
385	65931.63677
386	65922.32109
387	65895.54936
388	65889.29011
389	65878.5177
390	65861.81783
391	65825.38214
392	65817.9318
393	65807.71835
394	65793.54242
395	65784.63024
396	65775.62166
397	65773.19749
398	65762.43392
399	65722.35372
400	65700.08497
401	65691.59496
402	65686.24055
403	65675.59849
404	65661.27743
405	65653.25969
406	65639.55158
407	65630.29148
408	65607.27241
409	65596.58904
410	65592.95922
411	65565.24015
412	65550.87397
413	65544.07699
414	65533.07713
415	65506.07255
416	65480.08619
417	65454.71754
418	65443.49066
419	65432.20748
420	65395.37417
421	65380.46828
422	65354.89217
423	65337.022
424	65312.72615
425	65304.08047
426	65267.46522
427	65241.82224
428	65218.72122
429	65211.73874
430	65205.79986
431	65181.85944
432	65164.34556
433	65151.61191
434	65148.1401
435	65141.79102
436	65126.90968
437	65117.39739
438	65107.66293
439	65100.93944
440	65091.42501
441	65077.42714
442	65043.38325
443	65033.82218
444	65012.02098
445	65005.74289
446	64981.53056
447	64965.91251
448	64945.19301
449	64926.6667
450	64914.69329
451	64908.87754
452	64902.02937
453	64894.15711
454	64877.58887
455	64866.84974
456	64861.03146
457	64851.76919
458	64841.79673
459	64833.59278
460	64830.81132
461	64819.82025
462	64788.72715
463	64772.75411
464	64758.66333
465	64748.03986
466	64734.9362
467	64726.48512
468	64715.0427
469	64695.28917
470	64677.48498
471	64667.78833
472	64663.75287
473	64650.51714
474	64637.28189
475	64624.09379
476	64607.81838
477	64600.6987
478	64581.90875
479	64576.97371
480	64559.11613
481	64549.36633
482	64541.98252
483	64532.78475
484	64521.81822
485	64490.36201
486	64481.66567
487	64475.65026
488	64461.34627
489	64458.82099
490	64450.60294
491	64438.26032
492	64408.36745
493	64386.02543
494	64363.02168
495	64333.75815
496	64324.01743
497	64315.30699
498	64308.57322
499	64296.60747
500	64289.00448
501	64281.32849
502	64270.1014
503	64248.8688
504	64240.71513
505	64230.09133
506	64228.00869
507	64200.51806
508	64174.0553
509	64158.17352
510	64150.35204
511	64138.57648
512	64116.80143
513	64114.63982
514	64098.96121
515	64078.39161
516	64064.27091
517	64053.42745
518	64049.80532
519	64045.27855
520	64037.44617
521	64032.98378
522	64020.0168
523	64011.53871
524	64003.84742
525	63984.02782
526	63973.05354
527	63961.2618
528	63951.57237
529	63940.89913
530	63927.19291
531	63923.55012
532	63916.12984
533	63910.17622
534	63903.1462
535	63886.82956
536	63868.18766
537	63864.29789
538	63854.72865
539	63835.2198
540	63830.61551
541	63821.28221
542	63808.29723
543	63805.31188
544	63794.98421
545	63788.31382
546	63784.10642
547	63764.93703
548	63756.83319
549	63749.51976
550	63735.02839
551	63729.84048
552	63727.76507
553	63709.39594
554	63705.41433
555	63695.11595
556	63688.77946
557	63679.31955
558	63662.18666
559	63629.55241
560	63623.46385
561	63606.27346
562	63593.11111
563	63586.00928
564	63582.25183
565	63574.98018
566	63569.13821
567	63565.26973
568	63561.78717
569	63546.15657
570	63539.91555
571	63538.0832
572	63508.43505
573	63483.8771
574	63480.01053
575	63465.15185
576	63451.03174
577	63437.62639
578	63424.89255
579	63412.7952
580	63399.72915
581	63388.23436
582	63377.31195
583	63366.93217
584	63357.05942
585	63347.68402
586	63338.77342
587	63330.2966
588	63327.47803
589	63319.42056
590	63312.04234
591	63304.38178
592	63297.10039
593	63292.81262
594	63286.70022
595	63278.39738
596	63262.01353
597	63258.25982
598	63249.83844
599	63234.21167
600	63230.93694
601	63216.08842
602	63212.75361
603	63201.29874
604	63194.52386
605	63181.6194
606	63177.3756
607	63171.63917
608	63161.2178
609	63146.25163
610	63141.21357
611	63129.81895
612	63122.48742
613	63110.35591
614	63096.22187
615	63082.79023
616	63070.95388
617	63059.75674
618	63051.6978
619	63027.27345
620	63016.6459
621	63012.89529
622	63008.40625
623	62990.14238
624	62983.52815
625	62977.24152
626	62967.17761
627	62961.19968
628	62936.41879
629	62930.73492
630	62919.17072
631	62907.3852
632	62901.57358
633	62873.67405
634	62871.03308
635	62860.43379
636	62833.6574
637	62824.08166
638	62815.04232
639	62804.22957
640	62798.78707
641	62775.96472
642	62769.17386
643	62760.56052
644	62742.91575
645	62737.73354
646	62726.483
647	62721.26853
648	62716.5772
649	62692.3075
650	62683.96037
651	62681.43036
652	62676.17461
653	62659.22402
654	62646.11086
655	62641.64715
656	62620.70522
657	62616.20585
658	62594.5842
659	62592.46135
660	62585.79976
661	62579.7962
662	62577.78646
663	62572.24534
664	62566.18754
665	62555.15612
666	62546.94925
667	62543.79331
668	62535.98115
669	62524.27787
670	62522.36947
671	62507.74408
672	62505.94088
673	62493.85584
674	62486.62365
675	62464.23042
676	62437.77986
677	62432.73312
678	62420.38555
679	62403.57271
680	62401.4642
681	62398.23315
682	62394.10255
683	62390.68598
684	62373.0458
685	62366.93979
686	62365.09674
687	62351.92734
688	62348.95771
689	62338.24427
690	62334.70068
691	62309.17538
692	62301.89674
693	62285.91562
694	62272.90117
695	62268.15559
696	62260.74149
697	62249.27656
698	62243.33963
699	62230.6202
700	62219.25614
701	62215.31713
702	62212.09534
703	62209.03863
704	62200.0543
705	62194.50539
706	62190.63682
707	62182.92951
708	62175.87847
709	62169.1538
710	62154.25314
711	62150.78398
712	62139.40077
713	62130.60495
714	62123.99884
715	62108.78867
716	62094.30615
717	62087.73582
718	62085.31334
719	62075.602
720	62072.00507
721	62068.69418
722	62046.49784
723	62038.27949
724	62025.90638
725	62002.72327
726	61996.32457
727	61984.56391
728	61953.29415
729	61942.75054
730	61928.73002
731	61919.74158
732	61916.96822
733	61912.71301
734	61903.92507
735	61882.98336
736	61876.89068
737	61860.10128
738	61852.27197
739	61848.14809
740	61845.86833
741	61838.80249
742	61831.95237
743	61823.19752
744	61820.18894
745	61802.11248
746	61798.69199
747	61795.68318
748	61788.99597
749	61784.74999
750	61782.20042
751	61776.99773
752	61758.20353
753	61745.03743
754	61740.07769
755	61733.48358
756	61731.06733
757	61725.22221
758	61722.11774
759	61713.03283
760	61710.32009
761	61704.94758
762	61691.12381
763	61688.8327
764	61682.58286
765	61674.99481
766	61660.51873
767	61644.12054
768	61638.49495
769	61634.2824
770	61617.39787
771	61614.48188
772	61603.24126
773	61582.21036
774	61576.1606
775	61571.77601
776	61555.5746
777	61551.51648
778	61548.76302
779	61535.55567
780	61533.96882
781	61529.27023
782	61522.17524
783	61519.07951
784	61488.96218
785	61478.41373
786	61476.90994
787	61472.08527
788	61467.95565
789	61460.32427
790	61434.8821
791	61424.17089
792	61422.83504
793	61419.61455
794	61418.27647
795	61408.65491
796	61402.68085
797	61397.94212
798	61388.80534
799	61377.1982
800	61373.88461
801	61369.96493
802	61363.69351
803	61360.17186
804	61337.08691
805	61317.1695
806	61313.43099
807	61307.77085
808	61304.22896
809	61297.39804
810	61294.02677
811	61285.78886
812	61277.74668
813	61272.63999
814	61269.43265
815	61259.26048
816	61256.22526
817	61246.44365
818	61238.38998
819	61214.38338
820	61212.72463
821	61207.2051
822	61199.89539
823	61193.90231
824	61182.68216
825	61176.91038
826	61166.24665
827	61164.19692
828	61161.28611
829	61158.52172
830	61153.77181
831	61152.44028
832	61143.89347
833	61136.23754
834	61126.56825
835	61120.53773
836	61117.2168
837	61107.07691
838	61097.44165
839	61084.85074
840	61075.40115
841	61069.95967
842	61061.80839
843	61056.79281
844	61040.46984
845	61028.31555
846	61023.10996
847	61018.19573
848	61012.70319
849	61003.53283
850	60990.78398
851	60988.12668
852	60977.56077
853	60974.53117
854	60960.11584
855	60950.13585
856	60947.25841
857	60944.52736
858	60928.00204
859	60925.37601
860	60922.78116
861	60918.7715
862	60914.08915
863	60907.47806
864	60883.56447
865	60874.1434
866	60866.48634
867	60865.17711
868	60857.03299
869	60837.54205
870	60812.3014
871	60807.23781
872	60803.51632
873	60789.9983
874	60786.17448
875	60781.71955
876	60772.1822
877	60768.26453
878	60763.92803
879	60754.17012
880	60744.72103
881	60739.71608
882	60718.44146
883	60713.08925
884	60708.21312
885	60692.91226
886	60688.05771
887	60686.09223
888	60681.85221
889	60677.80864
890	60673.67724
891	60663.08062
892	60651.75083
893	60638.42281
894	60634.60752
895	60617.02376
896	60609.72031
897	60601.05737
898	60591.14549
899	60575.16714
900	60569.99375
901	60565.41468
902	60557.25628
903	60554.9008
904	60551.10221
905	60548.53665
906	60546.14122
907	60529.89222
908	60524.44885
909	60518.87974
910	60509.63328
911	60505.71768
912	60503.47451
913	60499.78243
914	60484.04227
915	60476.93675
916	60475.60195
917	60473.27684
918	60471.59704
919	60456.18406
920	60448.49881
921	60446.73725
922	60440.22625
923	60435.79859
924	60432.39711
925	60417.61645
926	60414.12087
927	60405.56898
928	60404.3074
929	60398.64086
930	60389.84585
931	60388.65515
932	60371.32116
933	60353.01564
934	60346.55923
935	60344.70491
936	60336.29307
937	60329.03867
938	60323.86657
939	60313.08408
940	60303.76788
941	60297.83041
942	60289.83516
943	60285.84038
944	60274.62772
945	60272.33434
946	60270.15603
947	60265.66216
948	60258.08738
949	60251.21613
950	60234.82369
951	60228.33449
952	60214.76365
953	60209.38232
954	60193.27194
955	60192.21106
956	60191.05783
957	60184.19643
958	60176.9553
959	60170.07447
960	60163.94256
961	60161.30922
962	60153.65082
963	60147.84251
964	60145.50607
965	60140.00878
966	60134.10797
967	60126.22952
968	60120.77839
969	60114.24894
970	60104.0886
971	60094.44226
972	60089.7526
973	60083.54417
974	60077.64398
975	60072.03646
976	60063.76739
977	60058.43667
978	60053.20425
979	60028.57762
980	60020.96452
981	60000.96753
982	59993.78553
983	59987.07338
984	59982.11361
985	59976.43841
986	59971.82781
987	59961.42539
988	59951.03118
989	59946.29962
990	59940.0031
991	59932.00905
992	59926.10328
993	59921.51645
994	59916.95099
995	59914.15045
996	59894.54909
997	59889.04111
998	59881.75127
999	59874.88917
